,region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
29,Argeș_RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0
30,Arizona_US,2619.0,2733.0,2923.0,3213.0,3571.0,3810.0,4124.0,4357.0,4613.0,4887.0,5308.0,5600.0,5924.0,6168.0,6349.0,6655.0,7034.0,7783.0,8434.0,8856.0,8926.0,9060.0,8982.0,9714.0,11278.0,13056.0,14847.0,16788.0,18150.0,18530.0,18759.0
31,Arkansas_US,925.0,1003.0,1011.0,1060.0,1228.0,1298.0,1397.0,1475.0,1549.0,1567.0,1666.0,1666.0,1781.0,1930.0,2051.0,2190.0,2462.0,2647.0,2784.0,2747.0,2660.0,2449.0,2229.0,2122.0,2215.0,2407.0,2629.0,2943.0,3389.0,3823.0,4022.0
32,Arkhangel'sk_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,22.0,27.0,28.0,16.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Assam_IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,19.0,17.0,22.0,24.0,19.0
34,Astrakhan'_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
35,Atacama_CL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0
36,Attica_GR,34.0,37.0,41.0,40.0,57.0,70.0,94.0,135.0,197.0,211.0,212.0,235.0,253.0,248.0,289.0,333.0,351.0,385.0,412.0,449.0,485.0,577.0,654.0,731.0,808.0,883.0,919.0,954.0,990.0,1010.0,956.0
37,Auckland_NZ,135.0,139.0,132.0,101.0,88.0,93.0,92.0,92.0,108.0,138.0,160.0,177.0,204.0,236.0,291.0,372.0,470.0,624.0,808.0,961.0,1102.0,1211.0,1320.0,1406.0,1424.0,1422.0,1459.0,1481.0,1372.0,1227.0,1135.0
38,Aust-Agder_NO,8.0,5.0,6.0,0.0,4.0,4.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,12.0,9.0,8.0,10.0,0.0,0.0,10.0,14.0,14.0,11.0,14.0,14.0,13.0,13.0,16.0,15.0,16.0
39,AustralianCapitalTerritory_AU,48.0,74.0,83.0,107.0,125.0,148.0,150.0,150.0,161.0,192.0,166.0,151.0,141.0,109.0,74.0,74.0,75.0,80.0,88.0,116.0,143.0,142.0,169.0,180.0,176.0,172.0,217.0,222.0,227.0,241.0,241.0
40,Auvergne-Rhône-Alpes_FR,1557.0,1612.0,1797.0,1964.0,2142.0,2296.0,2372.0,2353.0,2383.0,2400.0,2444.0,2680.0,2941.0,4315.0,5726.0,6974.0,8424.0,9890.0,10090.0,10549.0,10141.0,9602.0,9142.0,8775.0,8109.0,8376.0,8690.0,9157.0,9355.0,8430.0,7395.0
41,Aveiro_PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,10.0,13.0,15.0,16.0,22.0,21.0,23.0,22.0,28.0,37.0,48.0,57.0,70.0,69.0,65.0,61.0
42,Aydin_TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Bacău_RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,11.0,0.0
44,Baden-Württemberg_DE,7191.0,7826.0,8431.0,8992.0,9672.0,9977.0,10251.0,9974.0,10428.0,11260.0,12655.0,14007.0,16595.0,19231.0,24207.0,29239.0,35073.0,39867.0,44314.0,45782.0,48089.0,52887.0,58416.0,62709.0,69187.0,74188.0,75952.0,78224.0,82853.0,75026.0,63386.0
45,Bahia_BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,19.0,26.0,57.0,73.0,113.0,127.0,126.0
