,MA,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean
10,Agra_IN,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05778760782026249,0.056959636873800026,0.0889422128179235,0.06906759756847633,0.11203280458244935,0.05903244892997598,0.057970317524567855,0.08804085391700589,0.019026886452724562
11,Aguascalientes_MX,MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12364157108550042,0.1260773143313481,0.13086152978069354,0.24162176849273415,0.1662331569489866,0.1880023242101683,0.1974995221856685,0.17998460377174771,0.10894000639945195,0.04718909023246126
12,Ahmadnagar_IN,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03911717749897099,0.03300686010203137,0.03424037235373041,0.003431109998539767
13,Ahmedabad_IN,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013145685386629274,0.04015698810654975,0.0,0.0,0.0,0.06384258661239584,0.031024926963865843,0.052725695978386646,0.10177626044254404,0.09912305497531268,0.13888016793697433,0.1815218245992268,0.24454525478130068,0.3153054439959777,0.6356609907328827,0.6527776521794876,0.9092172636555601,1.107182776103287,1.0356820304785888,0.9472283382525172,0.8997595741364215,0.24095343597799707
14,Aitkenvale_AU,AU,0.03268344994841964,0.0394499366504803,0.038095668029051434,0.028998369467319103,0.028801395984497644,0.04250887217444181,0.0539902185446887,0.055503205763449186,0.06493637906199998,0.0712437963263627,0.0548846652742027,0.051464401455203077,0.058842855831521323,0.035821433818190196,0.02033348913627014,0.04697385151164725,0.05878625227458213,0.060784825920363654,0.13133718088862736,0.24232331755035263,0.1871804159704169,0.1994339597255052,0.21908397266574828,0.17222357129199378,0.06753167359105648,0.2301072364455365,0.27435080721392824,0.27904957428435007,0.48010292354725964,0.5783334217524707,0.5732478393103613,0.1444648052067838
15,Aix-en-Provence_FR,FR,0.35913221625409775,0.48101155145510793,0.3797134285843664,0.4064950239336772,0.3822483779518985,0.4827052746612473,0.4227449457337449,0.2707956917552282,0.3212797207103981,0.4202994368192766,0.4637628341723558,0.5080461636783543,0.6286478169856242,1.3953459650344324,1.4890613986117147,1.4153524079771782,1.5013772628965467,1.5582543734119463,1.5455785715654338,1.6576348638232177,1.709303139855295,1.7298081320649772,1.8617782446193036,1.5622032946819173,1.6372676053249362,1.5756326543328079,1.6179894847966836,1.311989201563444,1.3985940405876,0.9338050087891328,0.7607343170680836,1.0383416919258075
16,Aizu-Wakamatsu_JP,JP,0.08007742152551908,0.06330531746888395,0.06487227632362647,0.0,0.07078280403096968,0.03892459582948123,0.05217512051742649,0.08482641766375776,0.07544005155764764,0.0665221940797491,0.09768016254660537,0.07506863366568135,0.10145925790358538,0.12058016589019567,0.1383481605361555,0.23912265640228958,0.21118036655797948,0.31250013695093565,0.39721599585177236,0.4216937161773662,0.3198626104382499,0.26960018631647426,0.20963464545094734,0.10790934023658344,0.1313367676827669,0.07342659977655082,0.06318466271834013,0.07369670384183179,0.1657589540252065,0.19678210682800823,0.29218113411525465,0.1488757794487046
17,Ajaccio_FR,FR,0.03456486553491238,0.03480959922178412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12037645636300853,0.17025316141768096,0.19229613994383676,0.2312005658125158,0.27234955634864416,0.25470869238099136,0.2833066850354523,0.23386303904413572,0.16382036026819408,0.18658638554036053,0.21732103473214462,0.20942595699684088,0.18048934579219283,0.1738988476518695,0.09133728823692133,0.08473977910608775,0.06742357562662214,0.10331520435658696
18,Ajmer_IN,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05414009805582913,0.05157774946513454,0.05293312255779821,0.057040359610408146,0.0,0.006957784828682904
19,Akbarpur_IN,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08089256717090186,0.08864307289781061,0.07398142124854885,0.05138840739020273,0.06333894056872742,0.0,0.011556271266973917
20,Akita_JP,JP,0.5763840920960825,0.4324861672250034,0.36172220037399067,0.39484270192826326,0.40780636429993294,0.4038806210207366,0.4434418899754535,0.42102303618672987,0.34341405685040094,0.3168301701715459,0.271948635016584,0.29820159380287525,0.21272521550677626,0.27680692062935214,0.2582855974089932,0.3475872549362619,0.3605637181332755,0.4034600944571045,0.5566904892453601,0.6216627402799613,0.6532031531714123,0.6702905692262326,0.6943406896549693,0.5238924296144739,0.4827930631330039,0.49266183519863005,0.6046969036699854,0.5320475983255998,0.6136395993078171,0.58834351333515,0.5573081944317534,0.4555800357617326
21,Akola_IN,IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07178528090240828,0.06953579513403065,0.004558744388272223
