,region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
10,Alagoas_BR,3904.8705813488327,3922.436507700725,3944.9916400955385,4048.45268084055,4253.121220232492,4294.18857421875,4375.695526343656,4407.559882400697,4436.8210410979855,4442.702085784544,4542.751977539063,4621.007561888177,4739.098596044334,4879.684949171688,5029.407291274472,5185.3728556805345,5529.197716255648,5875.265169663027,6179.103212067018,6509.97195059535,6778.041391248587
11,Alaska_US,43117.87713123214,43207.738172329846,43361.529617260225,43714.54689678695,43898.01713582056,44110.9279452893,44618.28526791424,45462.63915709536,46369.0491621429,47367.55963230053,48393.77944894503,49496.33212288193,50416.97239199909,51300.9314463263,52462.113436731845,53224.38008021108,53774.44611310968,54333.29357174664,54836.7493430185,55068.720117772384,55704.20146236774
12,Alba_RO,9490.090625,9317.261328125,9480.0158203125,9685.6830078125,9709.813671875,9652.644921875,9549.96484375,9451.5203125,9569.20546875,10171.13828125,11060.1681640625,11879.538671875,13084.2912109375,14855.4205078125,16247.119921875,17119.3015625,17960.914453125,18395.4671875,18194.278125,18182.20859375,18537.0078125
13,Alberta_CA,40092.92108395903,41131.78018237856,42310.25189881118,43865.14227341722,45252.60644674638,46151.38346009455,47280.83859067946,48387.596702122726,49110.32617022386,49669.256433073795,50667.212357538476,51614.45332018215,52915.386914917035,54182.74420565675,55410.523646528556,55746.35423172738,55865.551389680666,55780.41708090007,55740.66890080413,55737.06272339637,56437.700332719214
14,Altay_RU,8070.5970937402135,7335.0149964889015,6659.302807074312,6245.205729941474,6051.237164151807,5983.4236524477365,6042.523051585011,6299.8519846576,6600.675359551166,6917.380139599807,7405.432627127457,7797.567256590344,8235.600155797349,8862.856568812636,9437.768099070478,9905.765612552117,29885.9349805995,50568.34055861638,71777.71677276678,93185.21488003849,114328.27479837563
15,Amazonas_BR,7765.911792288001,7884.3650171508725,8127.084754064231,8527.256173354606,8848.119640253819,8825.279472940872,8852.938223446155,8838.522705046145,9006.042933081644,9272.670988930233,9930.359356467594,10412.969018946442,10864.101001085828,11311.50753681644,11787.931993913355,12072.22050736478,11895.609830427133,11801.696575693879,11579.638144951252,11219.237093827393,10812.028867127803
16,Andalucía_ES,18700.076023565274,18771.078678689642,18820.248281432534,19086.838850759348,19547.82491785923,20052.703006047996,20741.182403925723,21489.300052935163,22205.349785825547,22982.86106010271,23728.800569205127,24336.88292962666,24929.849482513142,25502.441911567857,25860.926053835672,25872.871727755064,25737.359510075934,25426.47765831873,24887.523286300137,24318.48857300185,24082.04375943098
17,AndhraPradesh_IN,1844.22939453125,1923.01796875,2003.11337890625,2086.3895751953123,2158.5303466796877,2254.84296875,2380.157080078125,2515.57392578125,2657.9763671875,2822.395458984375,2975.84072265625,3135.28798828125,3331.892138671875,3611.09765625,3870.860302734375,4166.06171875,4526.01123046875,4881.38896484375,5193.2115234375,5545.2349609375,5899.88544921875
18,Anhui_CN,1217.7516873713057,1332.307904301922,1481.8639574627546,1635.1204791464793,1790.4685299706275,1954.0039363039,2079.966019372275,2225.628017880935,2373.575393211503,2524.5682579588583,2706.471640725937,2903.998695897933,3131.981070256985,3433.4235711401816,3777.9428788658756,4186.188781719356,4753.400877139857,5356.549853995075,5951.9296189135175,6575.128084574855,7178.3076811813635
19,Ankara_TR,15953.356485627004,16439.00431815905,16851.618763772036,16731.338888721955,16435.372983774036,16581.28968549679,16823.529657451923,16517.949607371796,16686.141297576123,16798.40384765625,17050.873132512017,17268.232415865386,18271.839959435096,19273.411568509615,20129.759424579323,20464.51288711939,20846.043348357372,21309.036956630607,21644.44424278846,22108.62580428686,22889.488494090543
