,cntr,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
10,DE,30645.545753734943,31074.035721456177,31278.823301822762,31517.268602908123,31986.05527438778,32450.159337205194,33022.54252835872,33666.582847938196,34180.535048560225,34512.653148135556,34807.5893951092,34971.668334722264,35309.343999428864,35901.203942991226,36632.93373123814,36864.19618672848,37354.28481902296,38009.8638047229,38455.263037666475,38826.6036024126,39758.75737129574
11,DK,40385.810059574644,41188.81138909734,42103.847518615585,43141.151727918805,44372.851542584285,45445.919692066236,46632.255274872055,47663.23493689483,48457.5900825357,49095.181681059556,49729.09405616317,50247.874996585175,51091.425544319245,51970.22848384614,52719.300614690605,52652.34692185787,52519.87361235118,52111.27800480712,51637.51198526488,51334.800047790006,51724.30634420038
12,EE,0.0,0.0,0.0,0.0,0.0,8335.978854681689,8900.500507283785,9505.282557284096,10050.256863515737,10691.293550962513,11529.536016073964,12463.7856734618,13569.71130573462,14778.09737486564,15627.161330884861,15811.731203511179,15802.621470437018,15710.137750296359,15469.81252828112,15458.97556762202,16037.225506458339
13,ES,19320.153349282922,19526.552665781583,19735.6083308514,20061.42830985864,20614.7324505596,21273.852775109957,22061.09810341242,22912.860776810958,23694.68304554568,24366.04851361614,24927.58421489458,25369.15774767998,25780.14757079336,26218.624098651297,26561.60069178064,26586.519302529923,26497.82725270816,26225.891054096497,25709.16272139598,25176.277940977918,24974.887902896942
14,FI,29071.882273755175,28798.47147524652,29124.458805963535,30047.116520286178,31373.37418274494,32789.1145864256,34383.4132558255,35958.7077044596,37275.31015793088,38391.172952554036,39517.40684169946,40446.652512953944,41504.50418658508,42876.75430228574,44139.61741342858,44317.60196648776,44524.19247053751,44602.749826026135,44087.67136547496,43424.94670724502,43484.711395155944
15,FR,28814.48582078236,29058.971425272837,29338.25360687016,29673.47175961728,30266.665370249062,30929.34072029488,31699.612875282306,32490.75006043756,33190.55266878626,33701.29981156256,34171.058472763914,34494.3638419898,34856.43737421984,35319.5837712134,35752.98768599422,35799.30223836926,35884.484433450925,35968.4432767295,35911.52129849756,35881.09036128366,36130.52426587492
16,GB,31645.211240589364,32080.393642926076,32750.11316151304,33730.70904215068,34777.15304255648,35791.92355377414,36908.762585766366,38011.558393967025,38930.38286748748,39850.8833295005,40723.17419358442,41504.771531602775,42312.6488840334,43115.254952897856,43619.798511874,43538.20964513062,43408.34369625336,43177.0947165268,42881.74065355948,42781.76659061504,43315.28257111812
17,GR,15660.311163809642,15744.50809751678,15847.50229463604,16082.26600691826,16498.62061438294,16962.848207856117,17502.0461110009,18098.3025133369,18701.720221339063,19414.02709927268,20235.033577331902,20943.58036401686,21754.956866415938,22570.2292611908,23134.98628040346,23279.225244273402,23154.172552058222,22360.46349892026,21170.5976190836,19944.1072755583,18976.301663038837
18,HR,0.0,0.0,0.0,0.0,0.0,8075.189833266655,8383.57573548085,8708.47348588104,9036.28967682393,9435.84323968169,9929.615613508367,10448.470601881749,10954.773099500928,11472.410915835639,11928.428140903818,12114.0724584218,12183.90635727312,12147.827713070319,11947.12127101172,11696.566142789681,11631.1825985559
19,HU,0.0,7503.206470355246,7524.254739033128,7642.845891106292,7834.153577333018,8035.929763352722,8294.434470856459,8626.41277077202,9001.122274963742,9396.090907476344,9842.711987212493,10305.195722766259,10783.038476574133,11176.71877886332,11512.16021404536,11586.2137312866,11592.33232608604,11554.34061237618,11488.93550255226,11443.485966903321,11657.54241080018
20,IE,24009.520618390357,25024.00526233706,26342.29879241474,28128.87181562448,30311.59238783208,32889.15885235942,35614.006507322236,38276.47148921854,40703.9869205319,42752.19745547122,44587.00448821686,46138.74810158222,47603.47774550524,48944.7714906865,49502.953737776304,49033.9378405773,48343.985474170666,47495.69504945762,46370.89449193115,45975.99494069002,46900.80075127906
21,IL,0.0,0.0,0.0,0.0,0.0,26301.07091567698,27014.662752501183,27434.396057999664,27660.47774942172,27753.124648442135,27961.93481117876,27974.2774904293,28340.875904228342,29083.883901675803,29965.38854273168,30599.79656745058,31338.810736998963,32086.44959164416,32644.014732884418,33292.50557513932,34170.02042607966
22,IN,550.3590185678087,567.481662446537,592.4919754615296,616.6961133431757,643.610785817524,674.9496519574386,702.8098475131318,728.4178780187889,754.478804341392,784.5867126150519,815.5805687926771,854.7604139484168,901.5646952752161,957.4185556269598,1006.9788969772324,1059.9530120105933,1118.112620532662,1173.751333528236,1227.8876981035578,1292.43813217183,1360.6226720029101
23,IS,0.0,0.0,0.0,0.0,0.0,37479.371368663305,39076.627959689606,40622.781219336255,41790.93899207262,42619.172718158516,43827.19888514775,45162.41904615231,46651.14192285988,48751.723610974805,50763.262652994184,51315.53904444852,51184.1261525703,50824.49714722298,49933.5382266002,49358.607314664965,49699.7763584072
24,IT,27957.6530945201,28312.544496186078,28659.19332692704,29068.376556823503,29636.33462974478,30184.37585628128,30801.5389200377,31468.77565215854,32037.661255094798,32478.95706645272,32872.12903234972,33053.502119628465,33211.10800164969,33427.68542962226,33554.279302834686,33247.23822234805,33007.31906051034,32702.870414901863,32123.564034045598,31469.01749024068,31141.947071686143
25,JP,29178.467242547536,29528.25737713198,29875.836590397543,30238.54441241722,30551.07423187222,30784.976406225695,31036.8698738044,31122.84625622724,31150.8324762373,31357.85821520398,31733.62815230172,32067.21141953352,32478.30471883322,32993.08709021822,33338.572654063595,33165.76624837432,33134.497170751376,33030.42030415788,32936.10208470258,33072.55025334562,33619.714669605964
26,KR,10842.682655119348,11651.339941391061,12462.723662976761,13317.754009952341,13872.41369813504,14543.470845312602,15260.230377119442,15930.491614289582,16703.530666884697,17750.762270332238,18680.66331699024,19520.83900442242,20423.106930225902,21307.89774688284,22198.04962384202,22915.53022174276,23767.059550130118,24566.002034430796,25228.90892152556,25931.292883985843,26760.58197581156
27,LI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,LT,0.0,0.0,0.0,0.0,0.0,5640.47649054103,5937.956582699038,6271.751911271626,6615.251823968839,7034.787749217221,7588.38750639036,8257.00090057849,9009.033575836027,9921.139269808345,10751.058200276422,11107.199742010978,11375.292255486438,11652.75649052036,11791.51036889666,11958.897641327942,12588.939775119341
