,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
35,NZ,309.0,303.0,302.0,279.0,277.0,262.0,268.0,260.0,286.0,329.0,387.0,431.0,464.0,499.0,575.0,689.0,881.0,1228.0,1587.0,1862.0,2159.0,2442.0,2669.0,2925.0,3037.0,3068.0,3119.0,3123.0,2872.0,2619.0,2391.0
36,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,234.0,264.0,289.0,308.0,355.0,414.0,461.0,649.0,885.0,1085.0,1481.0,2489.0,3294.0,4196.0
37,PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,196.0,261.0,295.0,349.0,409.0,470.0,489.0,564.0,652.0,675.0,719.0,766.0,726.0
38,RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,261.0,368.0,487.0,616.0,729.0,846.0,909.0,903.0,867.0
39,RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,543.0,941.0,1331.0,1875.0,2351.0,2855.0,3318.0,3835.0,4158.0,4061.0,3724.0,3386.0,3548.0,3965.0,4861.0,5905.0,6905.0,7598.0,8552.0,9376.0,9582.0,9217.0
40,SE,5147.0,5833.0,6235.0,6554.0,6527.0,6312.0,5743.0,5118.0,4470.0,4099.0,4191.0,4701.0,5371.0,6517.0,7974.0,9232.0,10651.0,11697.0,12277.0,12427.0,12932.0,13642.0,14869.0,16595.0,18673.0,19813.0,20479.0,21785.0,22612.0,22751.0,24053.0
41,SI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,274.0,317.0,415.0,500.0,591.0,666.0,763.0,824.0,902.0,1020.0,1131.0,1227.0,1305.0,1345.0,1362.0
42,SK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,268.0,275.0,268.0,315.0,330.0,358.0,390.0,383.0
43,TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,259.0,311.0,333.0,401.0,584.0,751.0,945.0,1157.0,1385.0,1561.0,1860.0,2434.0,3218.0
44,US,359692.0,361759.0,367178.0,371457.0,386677.0,403066.0,420503.0,442428.0,476336.0,507040.0,542064.0,585259.0,621926.0,663726.0,703950.0,745345.0,784420.0,845380.0,890179.0,926058.0,938536.0,940914.0,932705.0,940179.0,967910.0,1009273.0,1064680.0,1136728.0,1222964.0,1312954.0,1398513.0
45,ZA,622.0,584.0,602.0,669.0,662.0,666.0,674.0,676.0,631.0,672.0,717.0,795.0,769.0,740.0,684.0,668.0,651.0,683.0,816.0,809.0,954.0,1008.0,1154.0,1291.0,1640.0,1843.0,2043.0,2271.0,2283.0,2147.0,1913.0
