,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean
10,DE,2.0763904634276584,2.2107379857923464,2.0182700565305294,2.081548682405103,1.988658190985976,2.0092292025334877,2.0995970348593835,2.147490642658735,2.242118969822462,2.54295757923918,2.3483332935503696,2.4709205403587253,2.6266148229372677,2.74956166962016,2.7510382797069344,2.82550866824707,2.9016835595322426,2.8997553159825706,2.962849175216687,2.98983286735544,3.1548239592480942,3.167020473019273,3.18898621857484,3.1637492835837393,3.2885786564364254,3.2908465732759775,3.1610891789683078,3.0113834014416505,2.988495520150735,2.7203431785856154,2.747962079328857,2.6916661686649395
11,DK,0.7883101105538285,0.8303867376157711,0.784540634342507,0.7922052273054415,0.739236655109411,0.7674191905589455,0.7252069382835352,0.769772146333731,0.7364089156661534,0.7290509952944336,0.7330461171199939,0.6978881488898896,0.6520139393953821,0.6163910636371819,0.5883321931860671,0.5824224913100167,0.6525564591867974,0.6530110519526906,0.6520745440212866,0.7238267992260243,0.7265631492533021,0.8579874041493282,0.7496137493572038,0.8929181313681117,0.8956144496718699,0.9199724816638364,0.9882485765670324,0.9199141722150911,0.9992730306455145,0.9201742430143981,0.9929780576430074,0.7763015897994651
12,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16940829548269187,0.2330017152475963,0.24989830672545257,0.33742311659452456,0.43836607906337577,0.04760325043712137
13,ES,0.8079599216331839,0.783813502836929,0.8131995837492852,0.869658693141418,0.7967319116610119,0.8640688347798652,0.852728773866111,0.9704818230924295,0.9988145851918531,1.0303908254649654,1.1704834967130266,1.1547861021088073,1.1169104957379261,1.0598962925087947,1.2625748665080807,1.2911197111916926,1.3022623337311712,1.374054557177154,1.4448009704913183,1.4273873367786525,1.4641195095672066,1.6080685139318258,1.6816945556766447,1.7661389487470385,1.7328472227054064,1.8172878110998028,1.7844623522183358,1.7218143599621143,1.7062752567344048,1.4983483284632477,1.4837149349176038,1.2949645496918043
14,FI,0.6737538155085834,0.7761829283870234,0.8155112410161734,0.8499518158044849,0.7626282200820117,0.8020288033114489,0.8001682177064225,0.8453076537944559,0.876980547263239,0.901251261076566,0.9164729396683907,0.7972483786587263,0.7621834996718062,0.7081624868349485,0.5443401318088245,0.5212466824279447,0.4894887030919379,0.5726287498625237,0.512548835860568,0.533369221916558,0.5527870838477167,0.5674968859542562,0.4438284716615586,0.44470439137083523,0.46826140099756164,0.35992346210078996,0.4076839120765179,0.2764197920442598,0.2829244963641652,0.42520434520545725,0.40990347061663257,0.6142279343494602
15,FR,1.822403409804029,1.8349368193428008,1.8374389949490146,1.9015305052049976,1.8415533375443323,1.814349732572022,1.7348621018831238,1.6509062158546,1.7228637328358043,1.6682059454494504,1.6491430005309338,1.5783379936052409,1.6348226024111319,1.8764058925601992,2.159729968635652,2.1434607812977937,2.1915817603485226,2.2277429355123792,2.20000709351444,2.2474645328721463,2.17625652036859,1.9934675092018115,1.9101388531612766,1.9557276568488986,1.7360710401333992,1.8828780254723858,1.9320115168817535,1.7909078688383866,1.7880085493191284,1.6064306398452155,1.4849880071698802,1.8724076711388438
16,GB,2.1540896294849854,2.1391654008909486,2.166246986303516,2.0834452910488706,2.0607486688064416,2.1540471714070963,2.151883981921546,2.321850015060914,2.213681179689878,2.275848678550327,2.0827589306720187,2.0621128669259674,2.017551801344315,2.043521537373439,1.9450580031728757,1.9960062368138733,2.0400258750765925,2.019045737872554,1.9841409880524121,2.061282088124321,2.0107815660590287,2.0731439519976353,2.2454582507207923,2.4903554264995647,2.417162902361983,2.5903438370850003,2.688253405840674,2.624951090640023,2.566042959722119,2.4525788610400197,2.5338402863799967,2.217044465915158
17,GR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32569340170736977,0.5227550943600858,0.47452726748111457,0.5285448132342649,0.6660965624152925,0.5034231210279604,0.4748949452327358,0.6290725774294702,0.6516084076271873,0.592084630112519,0.6185908405912591,0.6642788395044076,0.5729603548392453,0.6430224625189593,0.7155121020681317,0.8225457971937484,0.7442173791743327,0.8614497999981968,1.0662054350507575,1.0458267304155031,0.9041558208407912,0.9376564759952598,0.9512331118351005,0.8889334818277218,0.5601763150827138
18,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40587561491793284,0.4043882732041849,0.4632948175790502,0.4690325977166687,0.5242117353955531,0.5687588547015697,0.6129236075619402,0.5494620745910062,0.6523424995087719,0.6530618720110767,0.7120412425827574,0.592313740483093,0.2202568976751202
19,HU,0.5502368700342961,0.46938803028789694,0.44483240990996187,0.4830117940940948,0.5055237512629115,0.4539581048695645,0.4237079880751215,0.43140563914408764,0.3820992029377089,0.36333086956226496,0.37957421906533567,0.4041008404346256,0.3674609055902997,0.32133148652994115,0.2952738994375815,0.34672819973911667,0.3223710423498626,0.3626576348478911,0.46432510828345275,0.428256206423859,0.45593873583715544,0.3851709936349212,0.3490893075818549,0.3027148402908029,0.33401234897200466,0.31537624220340615,0.3620660781939367,0.39637181894410084,0.42890491945255044,0.5032532783061499,0.47809332377740965,0.39867764066799566
